JobTile,Company,Location,PostDate,ExtractDate,Summary,Salary,JobURL
Data Scientist - Bus Priority Programs,TransLink,"Metro Vancouver Regional District, BC",1 day ago,09/01/2021,"Analyses extremely large, complex structured or unstructured data sets; merges large data sets as required to create new data sets or to generate insight from…","$68,564 a year",https://ca.indeed.com/company/TransLink/jobs/Data-Scientist-197bb8abb15b8c53?fccid=966bd00de3e8ab9d&vjs=3
Machine Learning Engineer Co-Op,Electronic Arts,"Vancouver, BC",3 days ago,09/01/2021,Understands how data is stored in databases and can write fast and reusable SQL and NOSQL code to retrieve it.,,https://ca.indeed.com/rc/clk?jk=e6a687f1ec940e04&fccid=617d7f961cfcf54a&vjs=3
Data Scientist,Fantuan Technology Ltd,"Burnaby, BC",30+ days ago,09/01/2021,"Data analysis: 2 years (Required).
Have 2+ years of working experience in a data analysis or similar role.
Interpret, evaluate, and interrelate research data…",,https://ca.indeed.com/company/Just-Order-Enterprise-Corp./jobs/Data-Scientist-3e739a6aa84f5505?fccid=d8ddff9f4870d4dd&vjs=3
Data Scientist,Kabam,"Vancouver, BC",30+ days ago,09/01/2021,"2+ years of industry experience translating data into actionable company insights.
Build Machine Learning Algorithms for data products to be implemented in-game…",,https://ca.indeed.com/rc/clk?jk=f6d128507d45e87a&fccid=fde47f06a6b44d5e&vjs=3
Senior Data Analyst/Engineer,Microsoft,"Vancouver, BC",Today,09/01/2021,"As an embedded data analyst/engineer, you will partner with data scientists and product teams, to build full stack data science solutions using data from some…",,https://ca.indeed.com/rc/clk?jk=ddc0f02f4c1cd2b9&fccid=734cb5a01ee60f80&vjs=3
"Data Engineer & Scientist, Digital Services",Stantec,"Vancouver, BC",30+ days ago,09/01/2021,"Experience in an ML engineer or data scientist role building ML models.
Experience handling terabyte size datasets, diving into data to discover hidden patterns…",,https://ca.indeed.com/rc/clk?jk=a1793b505f155f83&fccid=f1582c464db8553b&vjs=3
Sr. Data Scientist,"AMZN CAN Fulfillment Svcs, ULC","Vancouver, BC",4 days ago,09/01/2021,"Ability to clean, transform, and merge your own data in a procedural language like Python or R.
This is a unique, high visibility opportunity for someone who…",,https://ca.indeed.com/rc/clk?jk=67c16687ea370648&fccid=fe2d21eef233e94a&vjs=3
Temporary Clinical Data Scientist - Remote Position,MAPS PBC,"Vancouver, BC",30+ days ago,09/01/2021,"Reviews data transfers for ongoing trials to identify study conduct or data quality issues.
Analyzes data in SAS, creates graphs and tables for regulatory…",,https://ca.indeed.com/rc/clk?jk=6d0fa9975344bcd9&fccid=b8abf451ecb1b1ca&vjs=3
Intermediate Data Analyst,Unbounce,"Vancouver, BC",30+ days ago,09/01/2021,"You’re familiar with 3rd party tooling and data integrations, and at monitoring/maintaining data integrity across multiple systems.",,https://ca.indeed.com/rc/clk?jk=39799f04a40d01a3&fccid=7b7909227bb8e2af&vjs=3
Remote PT Data Science Mentor,Lighthouse Labs,"Vancouver, BC",30+ days ago,09/01/2021,You’ll either be helping students in our Bootcamps and Introductory programs or mentoring junior developers and junior data scientists throughout their first…,$30 - $50 an hour,https://ca.indeed.com/rc/clk?jk=c77b5c313a0335f4&fccid=6f3cdaca3f302315&vjs=3
Data Analyst,External,"Vancouver, BC",30+ days ago,09/01/2021,"The work is a mix of data exploration, hypothesis testing, database administration, data analysis, and business intelligence.",,https://ca.indeed.com/rc/clk?jk=0b700a6f8d0a00be&fccid=0c10910a7ccf3c63&vjs=3
Senior Data Scientist - RACE21,Teck Resources Limited,"Vancouver, BC",30+ days ago,09/01/2021,"Familiar with data modeling and different data structures and algorithms.
Ensures all automated processes preserve data by managing the alignment of data…",,https://ca.indeed.com/rc/clk?jk=aa5645ca61c4b611&fccid=33dfaa8965cf2bf4&vjs=3
Data Scientist,Lightspark Software,"Vancouver, BC",17 days ago,09/01/2021,"Experience working with geospatial data.
Data science & software development: 4 years (Required).
Extending company’s data with third party sources of…","$70,000 - $85,000 a year",https://ca.indeed.com/company/Lightspark-Software/jobs/Data-Scientist-9616e5ffa800dff7?fccid=0f7ee41d71e9eb6a&vjs=3
Senior Data Scientist - Forecasting,Finning International Inc.,"Vancouver, BC",30+ days ago,09/01/2021,"Build solutions that are reliable and robust, leveraging best practices in both software development and data science.",,https://ca.indeed.com/rc/clk?jk=6efe990a5fac160e&fccid=2be2e0dbc5a42997&vjs=3
"Associate Educator, Data Scientist",BrainStation,"Vancouver, BC",30+ days ago,09/01/2021,"Actively work on writing and researching new content to teach the most up to date skills in data science to our students.
Experience building and leading teams.",,https://ca.indeed.com/rc/clk?jk=72d6b5d01018ad65&fccid=163ccc336a959b8b&vjs=3
Applied Research Scientist,Grammarly,"Vancouver, BC",30+ days ago,09/01/2021,"Ruthlessly follows the data, looking for evidence to disconfirm hypotheses and changing perspectives when that's what the data indicates.",,https://ca.indeed.com/rc/clk?jk=7302fd68118f09a3&fccid=0555014e7bce64c3&vjs=3
Applied Scientist - Selection Monitoring Team,"AMZN CAN Fulfillment Svcs, ULC","Vancouver, BC",24 days ago,09/01/2021,"As an experienced machine learning scientist you will lead investigations and set the direction for the team by applying techniques from machine learning,…",,https://ca.indeed.com/rc/clk?jk=c6cd07efc0e341c5&fccid=fe2d21eef233e94a&vjs=3
Senior Data Scientist,Oracle,"Vancouver, BC",30+ days ago,09/01/2021,"A data scientist is someone who makes value out of data.
Develop custom data models and algorithms to apply to data sets.
5 years relevant work experience.",,https://ca.indeed.com/rc/clk?jk=3e1ad572cdaa8532&fccid=cd22d01053af7669&vjs=3
Data Scientist,Awakedata,"Burnaby, BC",30+ days ago,09/01/2021,"Experience with big data techniques (Hadoop, MapReduce, Spark).
Develop and implement scalable and efficient modeling algorithms that can work with large-scale…",,https://ca.indeed.com/rc/clk?jk=70f94647da6ef0b2&fccid=b0a5f2da0fe91db2&vjs=3
Data Scientist,Providence Health Care,"Vancouver, BC",30+ days ago,09/01/2021,Reviews clinical data at aggregate levels on a regular basis using analytical reporting tools to support the identification of risks and data patterns or trends…,,https://ca.indeed.com/rc/clk?jk=ba662e5eccb30cd6&fccid=e98b37c86f8eec83&vjs=3
Data Analyst/Engineer,Microsoft,"Vancouver, BC",Today,09/01/2021,"As an embedded data analyst/engineer, you will partner with data scientists and product teams, to build full stack data science solutions using data from some…",,https://ca.indeed.com/rc/clk?jk=9c10eaab45b32360&fccid=734cb5a01ee60f80&vjs=3
"Senior Data Scientist, Intact Lab",Intact,"Vancouver, BC",30+ days ago,09/01/2021,"Help maintain our data mining tools and platforms.
5 years of experience in the field of advanced statistics, machine learning or big data.",,https://ca.indeed.com/rc/clk?jk=cce4923092956c1c&fccid=be7195d2ebb48351&vjs=3
Senior Data Analyst,Brunel,"Vancouver, BC",30+ days ago,09/01/2021,"Assists in building and maintaining data and data cleanup exercises.
Builds data set requirements, metrics, data/report definitions and establishes reporting…",,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_71Ak7_QemnWrY8Cl22B58NowcISnz2ysQEA8DE9BVrxGtC8uBt4e0XAownkkhkYDYlnDcFaYjhhy70EzhRJRSeMNQrQhc3ozTveo36iVmn3kEUj9SJN-ghse4TJOqKBVz7jLkmKfJrZw9Zg6XkJdrlzicYFbwN010Z_5bBCsXTHxEXPcbv_orrLK24hAlHPvnvTpaKi-hzTar7FkAKnc2LEgPEc-UNlZDLFD-FL0t88-FsUxVciJdBcvY8her2Kib9DZH4jYyMJwkLOmKq0YsbzBnTDS6egUO2paf_XgWKOuomDkyiT4r2ndphQkNaaQtYaj5wBPGm46Z_pA5qoujqg0d6DxrupAza4QU97-RvITzHLVnE8dzzRUVsk6AtiClYf2hG8uJZ0zv8B5olWf8NNeiCkKZAwiBLhFwuMOPXYCbJtF2muXmzciqFfHOON5vJriIK3Wb9Y2SSwzmoe_6sYE5XHE3BuBxsHK1o-syckqL7M6FNDmStTEbLxofhwBDvCw40488FnE2zLqh278p0ejkNCYvoGa-zM6R5OjMmR1-h5hwk2y8BCTnCnBBS36sOP3bUFXev9S5XLE50PcVUhbG7zafotBjvF8mPvDTow6hsv5jE4k4yqiszieqv9wBfXdvr_DUMWdMshto-EHkOstvQoUQIsl14W7e3_6I1yov3bf75_W&p=12&fvj=0&vjs=3
Software Engineer - Machine Learning,Workday,"Vancouver, BC",4 days ago,09/01/2021,"Develop relationships with software engineers, machine learning engineers, and data scientists on partner teams.
Experience with data pipelines (e.g. Airflow).",,https://ca.indeed.com/rc/clk?jk=3b889df449daa6fb&fccid=9ac45d217f8342a1&vjs=3
"Educator, Data Scientist",BrainStation,"Vancouver, BC",30+ days ago,09/01/2021,"Actively work on writing and researching new content to teach the most up to date skills in data science to our students.
Experience building and leading teams.",,https://ca.indeed.com/rc/clk?jk=da234ef9217b077a&fccid=163ccc336a959b8b&vjs=3
Data Scientist,Awakedata,"Burnaby, BC",30+ days ago,09/01/2021,"Experience with big data techniques (Hadoop, MapReduce, Spark).
Develop and implement scalable and efficient modeling algorithms that can work with large-scale…",,https://ca.indeed.com/rc/clk?jk=70f94647da6ef0b2&fccid=b0a5f2da0fe91db2&vjs=3
Data Scientist,Providence Health Care,"Vancouver, BC",30+ days ago,09/01/2021,Reviews clinical data at aggregate levels on a regular basis using analytical reporting tools to support the identification of risks and data patterns or trends…,,https://ca.indeed.com/rc/clk?jk=ba662e5eccb30cd6&fccid=e98b37c86f8eec83&vjs=3
"Software Engineer, Machine Learning Platform",Grammarly,"Vancouver, BC",30+ days ago,09/01/2021,Understands data structures and algorithms at a level sufficient to write performant code when working with large datasets or large incoming data streams.,,https://ca.indeed.com/rc/clk?jk=85190e0d8a77a5ad&fccid=0555014e7bce64c3&vjs=3
Data Science Team Lead,Jungle Scout,"Vancouver, BC",28 days ago,09/01/2021,Plan. You will work with product managers and data scientists and play an active role in defining the roadmap.,,https://ca.indeed.com/rc/clk?jk=a6aae55cb13ca9ed&fccid=63b881e844df68e4&vjs=3
Business Intelligence Analyst,Cymax Stores,"Vancouver, BC",30+ days ago,09/01/2021,"Passion for data analysis and visualization.
Experience with data warehouse concepts and foundations.
Experience with relational and non-relational data sources…",,https://ca.indeed.com/rc/clk?jk=c43c63d81c75b795&fccid=1d146178a3bad219&vjs=3
Data Analyst/Engineer,Microsoft,"Vancouver, BC",Today,09/01/2021,"As an embedded data analyst/engineer, you will partner with data scientists and product teams, to build full stack data science solutions using data from some…",,https://ca.indeed.com/rc/clk?jk=9c10eaab45b32360&fccid=734cb5a01ee60f80&vjs=3
"Senior Data Scientist, Intact Lab",Intact,"Vancouver, BC",30+ days ago,09/01/2021,"Help maintain our data mining tools and platforms.
5 years of experience in the field of advanced statistics, machine learning or big data.",,https://ca.indeed.com/rc/clk?jk=cce4923092956c1c&fccid=be7195d2ebb48351&vjs=3
Computer Vision Scientist,Semios,"Vancouver, BC",16 days ago,09/01/2021,"Ability to translate product management, engineering, and business constraints into data science questions.
Strong ML programming skills necessary to identify…",,https://ca.indeed.com/rc/clk?jk=983350370be50b1f&fccid=d84702342d4b0d8f&vjs=3
Software Engineer - Machine Learning,Workday,"Vancouver, BC",4 days ago,09/01/2021,"Develop relationships with software engineers, machine learning engineers, and data scientists on partner teams.
Experience with data pipelines (e.g. Airflow).",,https://ca.indeed.com/rc/clk?jk=3b889df449daa6fb&fccid=9ac45d217f8342a1&vjs=3
Data Scientist II,"AMZN CAN Fulfillment Svcs, ULC","Vancouver, BC",30+ days ago,09/01/2021,"Proven track record in technically leading and mentoring scientists;
Strong CS fundamentals in data structures, problem solving, algorithm design and complexity…",,https://ca.indeed.com/rc/clk?jk=d69850cc7129b362&fccid=fe2d21eef233e94a&vjs=3
Senior Matchmaking Data Scientist,"DEMONWARE (CANADA) , INC.","Vancouver, BC",30+ days ago,09/01/2021,"Experience with data visualization, and tools (Kibana, Grafana etc).
Experience designing systems to make high volumes of data useable (using tools like Kafka,…",,https://ca.indeed.com/rc/clk?jk=061cbde4f9a81093&fccid=7f2db674856b119f&vjs=3
Senior Data Analyst,Brunel,"Vancouver, BC",30+ days ago,09/01/2021,"Assists in building and maintaining data and data cleanup exercises.
Builds data set requirements, metrics, data/report definitions and establishes reporting…",,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_71Ak7_QemnWrY8Cl22B58NowcISnz2ysQEA8DE9BVrxGtC8uBt4e0XAownkkhkYDYlnDcFaYjhhy70EzhRJRSeMNQrQhc3ozTveo36iVmn3kEUj9SJN-ghse4TJOqKBVz7jLkmKfJrZw9Zg6XkJdrlzicYFbwN0MROEQeIxiFfKhYXE-KygrR31-MlwF_Pvr7vwiBNq5AQ-09ZEy8CRq7s4qHFzWBoGihjQ__hNFd144DKJeX49lCaVhJZiz9VRKU8iv8PA3heak6zK6LYTJRipN638LgyEJj0St0Ma1QHF75xAXtLFGWR5PS_JCaVhBuxtOESwQjVCOzNm9WG6LlMyp8J0Wj2Mkug3wmeZ_l3sBqTuoAPMgHKLQ-u3-dTSkc7EUQ47gZGMEvdEhWTUNIB-OUz5GRD-NDzXJDP3iopMX4SjzH0rynI_hV9c8vtpxdu0YxHvhntdvtJeECK0jywb0FjwdZrJ3Y_4EqVeBDKPd3xUBU9E_Q54gfLMKfe5ctpAcc27CQh3Ks794QnFWminw5cx7jV6z0OCELNX0hanf8iYa5YEF-B3sRA3GUgxxUTgygKgqoLsewOOlBp6Bz3YtejzYUC146hFv19yFobqgL4sqGg8OfL71D7QddJWC_5DHKv673WWmVMcy3cOBWy555smC_6_Q99T8Uf77ShJGzURSA7_T&p=11&fvj=0&vjs=3
Data Scientist,Lightspark,"Vancouver, BC",30+ days ago,09/01/2021,"Experience working with geospatial data.
Enhancing data collection procedures to include information that is relevant for building analytic systems.",,https://ca.indeed.com/rc/clk?jk=1d9e179320a6422a&fccid=06926f09c00964a3&vjs=3
Data Scientist,Microsoft,"Vancouver, BC",23 days ago,09/01/2021,"Knowledge and experience in large scale data analytics, such as Spark.
Drive innovations in NLP applications, data insight and recommendation solutions focusing…",,https://ca.indeed.com/rc/clk?jk=cbd5162d5f845f08&fccid=734cb5a01ee60f80&vjs=3
Applied Scientist,"AMZN CAN Fulfillment Svcs, ULC","Vancouver, BC",30+ days ago,09/01/2021,"The successful candidate will (1) contribute to existing predictive, analytic, and algorithmic efforts already underway by infusing their deep knowledge of…",,https://ca.indeed.com/rc/clk?jk=8c8f2fccde404283&fccid=fe2d21eef233e94a&vjs=3
Computer Vision Scientist,Semios,"Vancouver, BC",16 days ago,09/01/2021,"Ability to translate product management, engineering, and business constraints into data science questions.
Strong ML programming skills necessary to identify…",,https://ca.indeed.com/rc/clk?jk=983350370be50b1f&fccid=d84702342d4b0d8f&vjs=3
Sr. Data Analyst,Electronic Arts,"Vancouver, BC",30+ days ago,09/01/2021,"Build and run data mining models.
Expert SQL skills including experience querying large, complex data sets.
Partner to develop requirements for dashboards, data…",,https://ca.indeed.com/rc/clk?jk=d8a9560475b2d585&fccid=617d7f961cfcf54a&vjs=3
Machine Learning Scientist - Sequence Space,AbCellera Biologics,"Vancouver, BC",18 days ago,09/01/2021,"Experience dealing with big data.
Optimize machine learning and data science pipelines with a focus on scalability.
A minimum of 3 weeks’ vacation.",,https://ca.indeed.com/rc/clk?jk=dc789ed7fd9d919b&fccid=6161745df4a18957&vjs=3
Senior Applied Scientist - Personalization,"AMZN CAN Fulfillment Svcs, ULC","Vancouver, BC",30+ days ago,09/01/2021,"Proven track record leading, mentoring, and growing teams of scientists.
As a Senior Applied Scientist, you will be responsible for designing, developing, and…",,https://ca.indeed.com/rc/clk?jk=bdb9e279d1f93d10&fccid=fe2d21eef233e94a&vjs=3
"Analyst, Business Intelligence",CPA Western School of Business,"Vancouver, BC",30+ days ago,09/01/2021,"Experience with data sourcing, data transformation, data load, data integration and conversion processes;
3+ years experience with data analytics;","$52,600 - $61,600 a year",https://ca.indeed.com/company/CPA-Western-School-of-Business/jobs/Analyst-4f503f8339e1c71d?fccid=62cfb7e60d657666&vjs=3
